HOTEL_CUSTOMER_ID,FOL_ACT_ARR_DATE,FOL_ACT_DEP_DATE,Arrival Month,Departure Month,Duration,DEBIT_TTL,ROOMDEBIT,OTHERDEBIT,FNBDEBIT,ENTERTNDEBIT,RETLDEBIT,CREDIT_TTL,ROOMCREDIT,OTHERCREDIT,FNBCREDIT,ENTERTNCREDIT,RETLCREDIT,TOTAL_CHARGES
58,10-Sep-2004,13-Sep-2004,Sep,Sep,3.00,31.67,0,25,6.67,0,0,0,0,0,0,0,0,31.67
58,11-Dec-2003,15-Dec-2003,Dec,Dec,4.00,62.06,0,62.06,0,0,0,0,0,0,0,0,0,62.06
58,11-Dec-2004,15-Dec-2004,Dec,Dec,4.00,54.92,0,1,53.92,0,0,0,0,0,0,0,0,54.92
58,11-Jul-2003,16-Jul-2003,Jul,Jul,5.00,335.25,185.3,70,79.95,0,0,0,0,0,0,0,0,335.25
58,12-Dec-2002,16-Dec-2002,Dec,Dec,4.00,155.04,98.04,57,0,0,0,0,0,0,0,0,0,155.04
58,12-Dec-2003,15-Dec-2003,Dec,Dec,3.00,228.26,0,166.47,61.79,0,0,0,0,0,0,0,0,228.26
58,13-Feb-2004,16-Feb-2004,Feb,Feb,3.00,7,0,2,5,0,0,0,0,0,0,0,0,7
58,17-Oct-2002,22-Oct-2002,Oct,Oct,5.00,66,0,66,0,0,0,0,0,0,0,0,0,66
58,21-Oct-2004,25-Oct-2004,Oct,Oct,4.00,26.45,0,26.45,0,0,0,0,0,0,0,0,0,26.45
58,22-Apr-2004,26-Apr-2004,Apr,Apr,4.00,1,0,1,0,0,0,0,0,0,0,0,0,1
58,23-Oct-2003,27-Oct-2003,Oct,Oct,4.00,54,0,54,0,0,0,0,0,0,0,0,0,54
58,24-May-2003,27-May-2003,May,May,3.00,65,0,65,0,0,0,0,0,0,0,0,0,65
59,18-Aug-2002,20-Aug-2002,Aug,Aug,2.00,119.9,119.9,0,0,0,0,20,0,20,0,0,0,99.9
60,4-Apr-2002,7-Apr-2002,Apr,Apr,3.00,621.13,621.12,0.01,0,0,0,0,0,0,0,0,0,621.13
61,3-Dec-2003,4-Dec-2003,Dec,Dec,1.00,76.25,76.25,0,0,0,0,0,0,0,0,0,0,76.25
61,4-Jun-2002,6-Jun-2002,Jun,Jun,2.00,40,0,40,0,0,0,0,0,0,0,0,0,40
61,4-Jun-2003,6-Jun-2003,Jun,Jun,2.00,174.28,174.28,0,0,0,0,0,0,0,0,0,0,174.28
61,6-May-2003,8-May-2003,May,May,2.00,238.82,196.08,0,37.39,0,5.35,0,0,0,0,0,0,238.82
61,9-Jul-2003,11-Jul-2003,Jul,Jul,2.00,335.37,239.68,34.93,60.76,0,0,0,0,0,0,0,0,335.37
61,12-Jun-2002,13-Jun-2002,Jun,Jun,1.00,113.23,85.23,28,0,0,0,0,0,0,0,0,0,113.23
61,13-May-2003,14-May-2003,May,May,1.00,87.14,87.14,0,0,0,0,0,0,0,0,0,0,87.14
